Reaction_Data_Origin:,1_https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0
details_url:,https://kmt.vander-lingen.nl/data/reaction/profile/4c6dc9f75848c01b386e4356ef4f8019
smiles:,C(C)(=O)OC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C>ClCCl.C(C)(C)(C)OO.[Se](=O)=O.[O-]S(=O)(=S)[O-].[Na+].[Na+]>C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C

Role,Name,Smiles
reactant,"(2E,6E)-Farnesyl Acetate",C(C)(=O)OC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C
solvent,dichloromethane,ClCCl
oxidizing agent,tert-butyl hydroperoxide,C(C)(C)(C)OO
reagent,selenium dioxide,[Se](=O)=O
quench,sodium thiosulfate,[O-]S(=O)(=S)[O-].[Na+].[Na+]
product,"(2E,6E,10E)-12-oxo-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C

==================================================

Reaction_Data_Origin:,1_https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0
details_url:,https://kmt.vander-lingen.nl/data/reaction/profile/bdd4a1e5f509dbac291ee6f77bf3a955
smiles:,C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C>CO[H].[Na+].[BH4-]>C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C

Role,Name,Smiles
reactant,"(2E,6E,10E)-12-oxo-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C
solvent,methanol,CO[H]
reducing agent,sodium borohydride,[Na+].[BH4-]
product,"(2E,6E,10E)-12-Hydroxy-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C

==================================================

Reaction_Data_Origin:,1_https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0
details_url:,https://kmt.vander-lingen.nl/data/reaction/profile/d6af14307ac9a657751becf37f7c7569
smiles:,C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C>ClCCl.ClC=1C=C(C(=O)OO)C=CC1.C(O)([O-])=O.[Na+]>C(C)(=O)OC\C=C(\CC\C=C(\CCC1OC1(C)CO)/C)/C

Role,Name,Smiles
reactant,"(2E,6E,10E)-12-Hydroxy-3,7,11-trimethyldodeca-2,6,10-trien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C
solvent,dichloromethane,ClCCl
oxidizing agent,meta-chloroperoxybenzoic acid,ClC=1C=C(C(=O)OO)C=CC1
quench,sodium hydrogen carbonate,C(O)([O-])=O.[Na+]
product,"(2E,6E)-9-(3-(Hydroxymethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CCC1OC1(C)CO)/C)/C

==================================================

Reaction_Data_Origin:,1_https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0
details_url:,https://kmt.vander-lingen.nl/data/reaction/profile/7492b8e3c3f2b9f21ea192d6b1df603c
smiles:,C(C1=CC=CC=C1)(=O)Cl.C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C>C1(=CC=NC=C1)N(C)C.ClCCl.CCN(CC)CC>C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CC\C(=C\CC\C(=C\COC(C)=O)\C)\C)C

Role,Name,Smiles
reactant,"(2E,6E)-9-((2S,3S)-3-(Hydroxymethyl)-3-methyloxiran-2-yl)-3,7-dimethylnona-2,6-dien-1-yl acetate",C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C
catalyst,4-dimethylaminopyridine,C1(=CC=NC=C1)N(C)C
solvent,dichloromethane,ClCCl
base,triethylamine,CCN(CC)CC
building block,benzoyl chloride,C(C1=CC=CC=C1)(=O)Cl
product,"((2S,3S)-3-((3E,7E)-9-Acetoxy-3,7-dimethylnona-3,7-dien-1-yl)-2-methyloxiran-2-yl)methyl benzoate",C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CC\C(=C\CC\C(=C\COC(C)=O)\C)\C)C

==================================================

Reaction_Data_Origin:,1_https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0
details_url:,https://kmt.vander-lingen.nl/data/reaction/profile/c771722dd1fb3f306669bd9d15601987
smiles:,C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C>ClCCl.C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O>C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C=O)/C)/C

Role,Name,Smiles
